polProcessID,stateID,countyID,yearID,sourceTypeID,fuelTypeID,IMProgramID,begModelYearID,endModelYearID,inspectFreq,testStandardsID,useIMyn,complianceFactor
101,36,36109,2022,21,1,10,1998,2020,1,51,Y,97.98
101,36,36109,2022,21,5,210,1998,2020,1,51,Y,97.98
101,36,36109,2022,31,1,10,1998,2020,1,51,Y,97.98
101,36,36109,2022,31,5,210,1998,2020,1,51,Y,97.98
101,36,36109,2022,32,1,10,1998,2020,1,51,Y,97.98
101,36,36109,2022,32,5,210,1998,2020,1,51,Y,97.98
101,36,36109,2022,52,1,10,1998,2020,1,51,Y,88.97
102,36,36109,2022,21,1,10,1998,2020,1,51,Y,97.98
102,36,36109,2022,21,5,210,1998,2020,1,51,Y,97.98
102,36,36109,2022,31,1,10,1998,2020,1,51,Y,97.98
102,36,36109,2022,31,5,210,1998,2020,1,51,Y,97.98
102,36,36109,2022,32,1,10,1998,2020,1,51,Y,97.98
102,36,36109,2022,32,5,210,1998,2020,1,51,Y,97.98
102,36,36109,2022,52,1,10,1998,2020,1,51,Y,88.97
112,36,36109,2022,21,1,8,1998,2020,1,43,Y,97.98
112,36,36109,2022,21,5,208,1998,2020,1,43,Y,97.98
112,36,36109,2022,31,1,8,1998,2020,1,43,Y,97.98
112,36,36109,2022,31,5,208,1998,2020,1,43,Y,97.98
112,36,36109,2022,32,1,8,1998,2020,1,43,Y,97.98
112,36,36109,2022,32,5,208,1998,2020,1,43,Y,97.98
201,36,36109,2022,21,1,10,1998,2020,1,51,Y,97.98
201,36,36109,2022,21,5,210,1998,2020,1,51,Y,97.98
201,36,36109,2022,31,1,10,1998,2020,1,51,Y,97.98
201,36,36109,2022,31,5,210,1998,2020,1,51,Y,97.98
201,36,36109,2022,32,1,10,1998,2020,1,51,Y,97.98
201,36,36109,2022,32,5,210,1998,2020,1,51,Y,97.98
201,36,36109,2022,52,1,10,1998,2020,1,51,Y,88.97
202,36,36109,2022,21,1,10,1998,2020,1,51,Y,97.98
202,36,36109,2022,21,5,210,1998,2020,1,51,Y,97.98
202,36,36109,2022,31,1,10,1998,2020,1,51,Y,97.98
202,36,36109,2022,31,5,210,1998,2020,1,51,Y,97.98
202,36,36109,2022,32,1,10,1998,2020,1,51,Y,97.98
202,36,36109,2022,32,5,210,1998,2020,1,51,Y,97.98
202,36,36109,2022,52,1,10,1998,2020,1,51,Y,88.97
301,36,36109,2022,21,1,10,1998,2020,1,51,Y,97.98
301,36,36109,2022,21,5,210,1998,2020,1,51,Y,97.98
301,36,36109,2022,31,1,10,1998,2020,1,51,Y,97.98
301,36,36109,2022,31,5,210,1998,2020,1,51,Y,97.98
301,36,36109,2022,32,1,10,1998,2020,1,51,Y,97.98
301,36,36109,2022,32,5,210,1998,2020,1,51,Y,97.98
301,36,36109,2022,52,1,10,1998,2020,1,51,Y,88.97
302,36,36109,2022,21,1,10,1998,2020,1,51,Y,97.98
302,36,36109,2022,21,5,210,1998,2020,1,51,Y,97.98
302,36,36109,2022,31,1,10,1998,2020,1,51,Y,97.98
302,36,36109,2022,31,5,210,1998,2020,1,51,Y,97.98
302,36,36109,2022,32,1,10,1998,2020,1,51,Y,97.98
302,36,36109,2022,32,5,210,1998,2020,1,51,Y,97.98
302,36,36109,2022,52,1,10,1998,2020,1,51,Y,88.97
101,36,36109,2022,54,1,10,1998,2020,1,51,Y,61.15
102,36,36109,2022,54,1,10,1998,2020,1,51,Y,61.15
201,36,36109,2022,54,1,10,1998,2020,1,51,Y,61.15
202,36,36109,2022,54,1,10,1998,2020,1,51,Y,61.15
301,36,36109,2022,54,1,10,1998,2020,1,51,Y,61.15
302,36,36109,2022,54,1,10,1998,2020,1,51,Y,61.15
