sourceTypeID,roadTypeID,hourID,dayID,hourVMTFraction
11,1,1,2,0.021473899483680725
11,1,1,5,0.009862110018730164
11,1,2,2,0.014442799612879753
11,1,2,5,0.006272479891777039
11,1,3,2,0.010968400165438652
11,1,3,5,0.005057670176029205
11,1,4,2,0.007494510151445866
11,1,4,5,0.004666860215365887
11,1,5,2,0.006838549859821796
11,1,5,5,0.00699468981474638
11,1,6,2,0.010358800180256367
11,1,6,5,0.018494000658392906
11,1,7,2,0.018430400639772415
11,1,7,5,0.04595649987459183
11,1,8,2,0.02681170031428337
11,1,8,5,0.06964439898729324
11,1,9,2,0.036385200917720795
11,1,9,5,0.06082789972424507
11,1,10,2,0.04754069820046425
11,1,10,5,0.050286199897527695
11,1,11,2,0.05746639892458916
11,1,11,5,0.049935098737478256
11,1,12,2,0.06507860124111176
11,1,12,5,0.05436540022492409
11,1,13,2,0.07132279872894287
11,1,13,5,0.05764620006084442
11,1,14,2,0.07149170339107513
11,1,14,5,0.058031901717185974
11,1,15,2,0.0717225968837738
11,1,15,5,0.06225540116429329
11,1,16,2,0.07200609892606735
11,1,16,5,0.07100489735603333
11,1,17,2,0.07114870101213455
11,1,17,5,0.07697249948978424
11,1,18,2,0.06788740307092667
11,1,18,5,0.07743199914693832
11,1,19,2,0.06177179887890816
11,1,19,5,0.059783000499010086
11,1,20,2,0.05168820172548294
11,1,20,5,0.04439229890704155
11,1,21,2,0.042865801602602005
11,1,21,5,0.03544579818844795
11,1,22,2,0.03803019970655441
11,1,22,5,0.03182400017976761
11,1,23,2,0.032207198441028595
11,1,23,5,0.024941900745034218
11,1,24,2,0.024567700922489166
11,1,24,5,0.017906799912452698
11,2,1,2,0.016421299427747726
11,2,1,5,0.010774100199341774
11,2,2,2,0.011192100122570992
11,2,2,5,0.007643760181963444
11,2,3,2,0.008541500195860863
11,2,3,5,0.006546409800648689
11,2,4,2,0.006793280132114887
11,2,4,5,0.006634859833866358
11,2,5,2,0.007218940183520317
11,2,5,5,0.00953998975455761
11,2,6,2,0.010761899873614311
11,2,6,5,0.020055100321769714
11,2,7,2,0.017680000513792038
11,2,7,5,0.04102950170636177
11,2,8,2,0.026875099167227745
11,2,8,5,0.057972200214862823
11,2,9,2,0.03865870088338852
11,2,9,5,0.053471099585294724
11,2,10,2,0.05223890021443367
11,2,10,5,0.05254780128598213
11,2,11,2,0.06317389756441116
11,2,11,5,0.055060699582099915
11,2,12,2,0.06994350254535675
11,2,12,5,0.0576740987598896
11,2,13,2,0.072933197021484375
11,2,13,5,0.05914289876818657
11,2,14,2,0.0731218010187149
11,2,14,5,0.060801900923252106
11,2,15,2,0.0736159011721611
11,2,15,5,0.06529849767684937
11,2,16,2,0.07446079701185226
11,2,16,5,0.07260820269584656
11,2,17,2,0.07421649992465973
11,2,17,5,0.07738170027732849
11,2,18,2,0.07000909745693207
11,2,18,5,0.0754816010594368
11,2,19,2,0.061403799802064896
11,2,19,5,0.058705899864435196
11,2,20,2,0.050504300743341446
11,2,20,5,0.043986398726701736
11,2,21,2,0.0412072017788887
11,2,21,5,0.03573089838027954
11,2,22,2,0.03363730013370514
11,2,22,5,0.03074279986321926
11,2,23,2,0.026224300265312195
11,2,23,5,0.02385210059583187
11,2,24,2,0.019166599959135056
11,2,24,5,0.017317699268460274
11,3,1,2,0.016421299427747726
11,3,1,5,0.010774100199341774
11,3,2,2,0.011192100122570992
11,3,2,5,0.007643760181963444
11,3,3,2,0.008541500195860863
11,3,3,5,0.006546409800648689
