sourceTypeID,yearID,ageID,ageFraction,FIPS
42,2022,29,2.4e-4,36085
42,2022,30,0.03384,36085
43,2022,0,0.05535,36085
43,2022,1,0.01975,36085
43,2022,2,0.04033,36085
43,2022,3,0.05818,36085
43,2022,4,0.04364,36085
43,2022,5,0.03619,36085
43,2022,6,0.05251,36085
43,2022,7,0.07935,36085
43,2022,8,0.07403,36085
43,2022,9,0.03571,36085
43,2022,10,0.06244,36085
43,2022,11,0.10265,36085
43,2022,12,0.04009,36085
43,2022,13,0.0486,36085
43,2022,14,0.06256,36085
43,2022,15,0.04234,36085
43,2022,16,0.09023,36085
43,2022,17,0.03181,36085
43,2022,18,0.00792,36085
43,2022,19,0.00331,36085
43,2022,20,0.00414,36085
43,2022,21,0.00307,36085
43,2022,22,0.00166,36085
43,2022,23,0.0026,36085
43,2022,24,7.1e-4,36085
43,2022,25,1.2e-4,36085
43,2022,26,3.5e-4,36085
43,2022,27,0,36085
43,2022,28,1.2e-4,36085
43,2022,29,0,36085
43,2022,30,2.4e-4,36085
51,2022,0,0.01349,36085
51,2022,1,0.02192,36085
51,2022,2,0.03541,36085
51,2022,3,0.06998,36085
51,2022,4,0.13575,36085
51,2022,5,0.16189,36085
51,2022,6,0.1172,36085
51,2022,7,0.04047,36085
51,2022,8,0.02108,36085
51,2022,9,0.11551,36085
51,2022,10,0.06324,36085
51,2022,11,0.04132,36085
51,2022,12,0.02024,36085
51,2022,13,0.0118,36085
51,2022,14,0.02867,36085
51,2022,15,0.01096,36085
51,2022,16,0.01433,36085
51,2022,17,0.0118,36085
51,2022,18,0.00927,36085
51,2022,19,0.00675,36085
51,2022,20,0.01096,36085
51,2022,21,0.01012,36085
51,2022,22,0.00927,36085
51,2022,23,0.00506,36085
51,2022,24,0.00253,36085
51,2022,25,0,36085
51,2022,26,0.00253,36085
51,2022,27,0.00169,36085
51,2022,28,0.00253,36085
51,2022,29,8.4e-4,36085
51,2022,30,0.00337,36085
52,2022,0,0.0238,36085
52,2022,1,0.03695,36085
52,2022,2,0.06832,36085
52,2022,3,0.0871,36085
52,2022,4,0.06444,36085
52,2022,5,0.06315,36085
52,2022,6,0.07552,36085
52,2022,7,0.06236,36085
52,2022,8,0.05053,36085
52,2022,9,0.04662,36085
52,2022,10,0.03892,36085
52,2022,11,0.03035,36085
52,2022,12,0.02428,36085
52,2022,13,0.02655,36085
52,2022,14,0.03628,36085
52,2022,15,0.05042,36085
52,2022,16,0.039,36085
52,2022,17,0.03105,36085
52,2022,18,0.02865,36085
52,2022,19,0.01606,36085
52,2022,20,0.01466,36085
52,2022,21,0.01631,36085
52,2022,22,0.01779,36085
52,2022,23,0.01197,36085
52,2022,24,0.00733,36085
52,2022,25,0.00612,36085
52,2022,26,0.0037200000000000002,36085
52,2022,27,0.00501,36085
52,2022,28,0.0028,36085
52,2022,29,0.00221,36085
52,2022,30,0.01175,36085
53,2022,0,0.02906,36085
53,2022,1,0.05931,36085
53,2022,2,0.06287,36085
53,2022,3,0.16785,36085
53,2022,4,0.07058,36085
53,2022,5,0.16133,36085
53,2022,6,0.08244,36085
53,2022,7,0.09549,36085
53,2022,8,0.03144,36085
53,2022,9,0.03025,36085
53,2022,10,0.0261,36085
53,2022,11,0.02017,36085
53,2022,12,0.00949,36085
53,2022,13,0.01364,36085
53,2022,14,0.02372,36085
53,2022,15,0.01305,36085
53,2022,16,0.02669,36085
53,2022,17,0.00771,36085
53,2022,18,0.00949,36085
53,2022,19,0.00771,36085
53,2022,20,0.0083,36085
53,2022,21,0.01068,36085
53,2022,22,0.00652,36085
53,2022,23,0.00771,36085
53,2022,24,0.00356,36085
53,2022,25,0.00237,36085
53,2022,26,0,36085
53,2022,27,0.00178,36085
53,2022,28,0.00356,36085
53,2022,29,5.9e-4,36085
53,2022,30,0.00652,36085
54,2022,0,0.02969,36085
54,2022,1,0.06257,36085
54,2022,2,0.04348,36085
54,2022,3,0.05938,36085
54,2022,4,0.05196,36085
54,2022,5,0.03712,36085
54,2022,6,0.03287,36085
54,2022,7,0.02863,36085
54,2022,8,0.02333,36085
54,2022,9,0.02545,36085
54,2022,10,0.01379,36085
54,2022,11,0.01697,36085
54,2022,12,0.00954,36085
54,2022,13,0.01909,36085
54,2022,14,0.03393,36085
54,2022,15,0.01379,36085
54,2022,16,0.03393,36085
54,2022,17,0.02651,36085
54,2022,18,0.03393,36085
54,2022,19,0.02121,36085
54,2022,20,0.02651,36085
54,2022,21,0.02757,36085
54,2022,22,0.03181,36085
54,2022,23,0.03181,36085
54,2022,24,0.03075,36085
54,2022,25,0.01379,36085
54,2022,26,0.02439,36085
54,2022,27,0.02333,36085
54,2022,28,0.01697,36085
54,2022,29,0.01803,36085
54,2022,30,0.13786,36085
61,2022,0,0.06918,36085
61,2022,1,0.05427,36085
61,2022,2,0.05427,36085
61,2022,3,0.09569,36085
61,2022,4,0.08202,36085
61,2022,5,0.08865,36085
61,2022,6,0.12386,36085
61,2022,7,0.06669,36085
61,2022,8,0.058,36085
61,2022,9,0.05344,36085
61,2022,10,0.03728,36085
61,2022,11,0.01408,36085
61,2022,12,0.01243,36085
61,2022,13,0.01201,36085
61,2022,14,0.01326,36085
61,2022,15,0.0377,36085
61,2022,16,0.02568,36085
61,2022,17,0.01947,36085
61,2022,18,0.00994,36085
61,2022,19,0.0087,36085
61,2022,20,0.00663,36085
61,2022,21,0.00953,36085
61,2022,22,0.01491,36085
61,2022,23,0.00994,36085
61,2022,24,0.0058,36085
61,2022,25,0.00166,36085
61,2022,26,4.1e-4,36085
61,2022,27,0.00704,36085
61,2022,28,0.00207,36085
61,2022,29,0.00124,36085
61,2022,30,0.00414,36085
62,2022,0,0.05608,36085
62,2022,1,0.02586,36085
62,2022,2,0.05091,36085
62,2022,3,0.09175,36085
62,2022,4,0.0648,36085
62,2022,5,0.08331,36085
62,2022,6,0.09965,36085
62,2022,7,0.09665,36085
62,2022,8,0.05854,36085
62,2022,9,0.05554,36085
62,2022,10,0.04247,36085
62,2022,11,0.02586,36085
62,2022,12,0.01443,36085
62,2022,13,0.01742,36085
62,2022,14,0.0147,36085
62,2022,15,0.04247,36085
62,2022,16,0.02723,36085
62,2022,17,0.02559,36085
62,2022,18,0.01579,36085
62,2022,19,0.0128,36085
62,2022,20,0.00926,36085
62,2022,21,0.00817,36085
62,2022,22,0.0177,36085
62,2022,23,0.01334,36085
62,2022,24,0.0079,36085
62,2022,25,0.00436,36085
62,2022,26,0.00327,36085
62,2022,27,0.00599,36085
62,2022,28,0.00191,36085
62,2022,29,0.00109,36085
62,2022,30,0.00517,36085
